px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
10.7412	-3.85243	-2.74569	-2.27197	0.228685	10.7394	-3.74821	10.75	-3.75	1.99962	1.99962	4838.94
10.7674	-3.71249	-2.62536	-2.17566	0.354042	10.7674	-3.58281	10.8	-3.6	0.999844	2.99952	1483.35
10.8502	-3.55713	-2.70549	-2.13905	0.372109	10.8596	-3.4348	10.85	-3.45	0.999834	2.99949	4862.9
10.9585	-3.45802	-2.7649	-2.17104	0.294623	10.9601	-3.36033	10.95	-3.35	2.00065	2.00064	1489.83
11.0411	-3.31786	-2.81082	-2.14716	0.303285	11.0504	-3.25128	11.05	-3.25	2.00064	2.00064	4975.32
11.0717	-3.17583	-2.74601	-2.0718	0.392428	11.0282	-3.07488	11.1	-3.1	0.998546	2.99563	1475.65
11.1431	-3.02367	-2.80288	-2.04212	0.401967	11.1569	-2.944	11.15	-2.95	0.998526	2.9956	4997.58
11.1417	-2.84797	-2.73332	-1.92318	0.548115	11.1386	-2.78926	11.15	-2.8	0	2.73104	1484.22
11.1844	-2.6921	-2.75135	-1.88465	0.555807	11.141	-2.65084	11.15	-2.65	0	2.73102	4907.42
11.1918	-2.52752	-2.74283	-1.8042	0.63081	11.1042	-2.54354	11.15	-2.55	0	1.81785	1444.8
11.2099	-2.40456	-2.6884	-1.76997	0.630676	11.1497	-2.45904	11.15	-2.45	0	1.81785	4864.91
11.2995	-2.31505	-2.65583	-1.83798	0.47548	11.1658	-2.25651	11.25	-2.25	1.99733	3.99465	1419.39
11.3402	-2.14816	-2.73154	-1.80825	0.480058	11.3591	-2.05184	11.35	-2.05	1.99733	3.99465	4984.45
11.3517	-1.99193	-2.72895	-1.75397	0.521706	11.3117	-1.92025	11.35	-1.95	0	1.81854	1436.77
11.3721	-1.85109	-2.71305	-1.72416	0.522835	11.3504	-1.8663	11.35	-1.85	0	1.81853	4934.66
11.3866	-1.70123	-2.71383	-1.6864	0.537219	11.4185	-1.70062	11.35	-1.7	0	2.72762	1445.71
11.3945	-1.54758	-2.72051	-1.65207	0.541525	11.3568	-1.53205	11.35	-1.55	0	2.72762	4886.8
11.3342	-1.38113	-2.73465	-1.53575	0.674204	11.2541	-1.38373	11.3	-1.4	-0.908846	2.72653	1418.63
11.3122	-1.23549	-2.72126	-1.4913	0.680992	11.2429	-1.24238	11.25	-1.25	-0.908846	2.72653	4754.56
11.2141	-1.05507	-2.82389	-1.35211	0.837597	11.0754	-1.08747	11.15	-1.1	-1.82014	2.73021	1386.87
11.1566	-0.912211	-2.80601	-1.29456	0.848391	11.0544	-0.927069	11.05	-0.949999	-1.82013	2.73021	4567.15
11.0851	-0.766548	-2.86195	-1.21995	0.896549	10.9247	-0.791254	11	-0.799999	-1.00036	3.00107	1322.58
11.0185	-0.635989	-2.85761	-1.16661	0.904396	10.9434	-0.640459	10.95	-0.65	-1.00035	3.00104	4476.2
10.8979	-0.478849	-3.01406	-1.0571	1.00394	10.7146	-0.485949	10.85	-0.5	-2.00003	3.00006	1303.53
10.8089	-0.353473	-3.00953	-0.999644	1.01073	10.7471	-0.362528	10.75	-0.35	-2.00002	3.00003	4316.85
10.7143	-0.222696	-3.00002	-0.941797	1.01355	10.6895	-0.304531	10.65	-0.3	-1.81779	0.908892	1271.8
10.6024	-0.140522	-2.91682	-0.867841	1.03441	10.547	-0.266677	10.55	-0.25	-1.81778	0.908893	4144.75
10.4533	-0.0167308	-3.11504	-0.768952	1.11254	10.5032	-0.154501	10.4	-0.15	-3.00061	2.00041	1285.49
10.3239	0.051281	-3.0614	-0.693266	1.13428	10.2485	-0.0475524	10.25	-0.0499992	-3.0006	2.00041	3921.7
10.229	0.116942	-2.9064	-0.648141	1.10913	10.1407	-0.0721585	10.15	-0.0499992	-1.99645	0	1149.36
10.0976	0.133851	-2.81231	-0.55784	1.14785	10.0313	-0.0518611	10.05	-0.0499992	-1.99644	0	3769.66
9.95931	0.20156	-2.84111	-0.485277	1.16325	10.0898	-0.00166396	9.9	9.49949e-07	-2.73175	0.910584	1171.47
